x_m,y_m,w_tr_right_m,w_tr_left_m
-7.399999999999995,-8.199999999999996,1.49164338901763,1.49164338901763
-7.399999999999995,-8.149999999999995,1.477328670269416,1.477328670269416
-7.399999999999995,-8.099999999999994,1.4577379737113252,1.4577379737113252
-7.349999999999994,-8.049999999999997,1.392838827718412,1.392838827718412
-7.349999999999994,-7.9999999999999964,1.3756816492197605,1.3756816492197605
-7.349999999999994,-7.949999999999996,1.3601470508735445,1.3601470508735445
-7.349999999999994,-7.899999999999995,1.3462912017836262,1.3462912017836262
-7.299999999999997,-7.849999999999994,1.2816005617976298,1.2816005617976298
-7.299999999999997,-7.799999999999997,1.264911064067352,1.264911064067352
-7.299999999999997,-7.7499999999999964,1.25,1.25
-7.2499999999999964,-7.699999999999996,1.1884864324004714,1.1884864324004714
-7.2499999999999964,-7.649999999999995,1.176860229593982,1.176860229593982
-7.2499999999999964,-7.599999999999994,1.1672617529928753,1.1672617529928753
-7.2499999999999964,-7.549999999999997,1.1597413504743201,1.1597413504743201
-7.199999999999996,-7.4999999999999964,1.104536101718726,1.104536101718726
-7.199999999999996,-7.449999999999996,1.0920164833920778,1.0920164833920778
-7.199999999999996,-7.399999999999995,1.0793516572461452,1.0793516572461452
-7.149999999999995,-7.349999999999994,1.019803902718557,1.019803902718557
-7.149999999999995,-7.299999999999997,1.0111874208078342,1.0111874208078342
-7.149999999999995,-7.2499999999999964,1.004987562112089,1.004987562112089
-7.099999999999994,-7.199999999999996,0.9513148795220223,0.9513148795220223
-7.099999999999994,-7.149999999999995,0.9500000000000001,0.9500000000000001
-7.099999999999994,-7.099999999999994,0.9500000000000001,0.9500000000000001
-7.049999999999997,-7.049999999999997,0.9,0.9
-7.049999999999997,-6.9999999999999964,0.9,0.9
-7.049999999999997,-6.949999999999996,0.9013878188659974,0.9013878188659974
-6.9999999999999964,-6.899999999999995,0.8558621384311845,0.8558621384311845
-6.9999999999999964,-6.849999999999994,0.8631338250816034,0.8631338250816034
-6.9999999999999964,-6.799999999999997,0.873212459828649,0.873212459828649
-6.949999999999996,-6.7499999999999964,0.8381527307120106,0.8381527307120106
-6.949999999999996,-6.699999999999996,0.8544003745317531,0.8544003745317531
-6.949999999999996,-6.649999999999995,0.8631338250816034,0.8631338250816034
-6.899999999999995,-6.599999999999994,0.8246211251235321,0.8246211251235321
-6.899999999999995,-6.549999999999997,0.8381527307120106,0.8381527307120106
-6.849999999999994,-6.4999999999999964,0.8077747210701756,0.8077747210701756
-6.849999999999994,-6.449999999999996,0.8276472678623424,0.8276472678623424
-6.799999999999997,-6.399999999999995,0.8062257748298549,0.8062257748298549
-6.799999999999997,-6.349999999999994,0.8139410298049854,0.8139410298049854
-6.7499999999999964,-6.299999999999997,0.8062257748298549,0.8062257748298549
-6.699999999999996,-6.2499999999999964,0.7826237921249265,0.7826237921249265
-6.649999999999995,-6.199999999999996,0.7615773105863909,0.7615773105863909
-6.649999999999995,-6.149999999999995,0.7433034373659253,0.7433034373659253
-6.599999999999994,-6.099999999999994,0.73824115301167,0.73824115301167
-6.549999999999997,-6.049999999999997,0.7211102550927979,0.7211102550927979
-6.4999999999999964,-5.9999999999999964,0.7106335201775948,0.7106335201775948
-6.449999999999996,-5.9999999999999964,0.7071067811865476,0.7071067811865476
-6.399999999999995,-5.949999999999996,0.7071067811865476,0.7071067811865476
-6.349999999999994,-5.899999999999995,0.7071067811865476,0.7071067811865476
-6.299999999999997,-5.849999999999994,0.7071067811865476,0.7071067811865476
-6.2499999999999964,-5.799999999999997,0.6946221994724903,0.6946221994724903
-6.199999999999996,-5.749999999999993,0.6800735254367722,0.6800735254367722
-6.149999999999995,-5.749999999999993,0.6726812023536856,0.6726812023536856
-6.099999999999994,-5.699999999999996,0.6726812023536856,0.6726812023536856
-6.049999999999997,-5.649999999999999,0.6726812023536856,0.6726812023536856
-5.9999999999999964,-5.599999999999994,0.670820393249937,0.670820393249937
-5.949999999999996,-5.549999999999997,0.651920240520265,0.651920240520265
-5.899999999999995,-5.549999999999997,0.651920240520265,0.651920240520265
-5.849999999999994,-5.499999999999993,0.670820393249937,0.670820393249937
-5.799999999999997,-5.449999999999996,0.651920240520265,0.651920240520265
-5.7499999999999964,-5.399999999999999,0.6403124237432849,0.6403124237432849
-5.699999999999996,-5.399999999999999,0.651920240520265,0.651920240520265
-5.649999999999995,-5.349999999999994,0.651920240520265,0.651920240520265
-5.599999999999994,-5.299999999999997,0.6403124237432849,0.6403124237432849
-5.549999999999997,-5.299999999999997,0.651920240520265,0.651920240520265
-5.4999999999999964,-5.249999999999993,0.65,0.65
-5.449999999999996,-5.249999999999993,0.65,0.65
-5.399999999999995,-5.199999999999996,0.651920240520265,0.651920240520265
